C:\WinT,A100\DIL805.PR,O\Data\Def,ormation,\SalimAlha,bsi\Ti64,\Basic file\,039_Compress,ion_Salim_Ti6,4_850_-2,.0_CoolQu,ench_012_.,asc
No.,Time,Tem.1,DL,Force,Strain,kf (Def.),Phi  (D),Phi* (D),Tem.2,Tem.3,Poti,HF
,s,∞C,µm,N,%,N/mm≤,,1/s,∞C,∞C,mm,%
11996,2057.764893,849.9,-4904.38,481.7,49.04,12.5016,0.6823,-0.0004,-20,-20,5.4681,33.27
11997,2057.772461,849.9,-4904.05,480.3,49.04,12.4659,0.6823,-0.0004,-20,-20,5.4682,33.23
11998,2057.780273,849.9,-4904,477.6,49.04,12.3966,0.6823,-0.0004,-20,-20,5.4683,33.19
11999,2057.787842,850,-4903.89,475.2,49.04,12.3348,0.6822,-0.0004,-20,-20,5.4684,32.98
12000,2057.795654,850,-4904.11,473,49.04,12.2758,0.6823,-0.0003,-20,-20,5.4684,33.07
12001,2057.803467,849.9,-4904,472,49.04,12.2505,0.6823,-0.0004,-20,-20,5.4685,32.97
12002,2057.811035,850,-4904.27,468.8,49.04,12.1658,0.6823,-0.0004,-20,-20,5.4686,33.08
12003,2057.818848,849.9,-4904,466.7,49.04,12.1116,0.6823,-0.0004,-20,-20,5.4687,33.16
12004,2057.826416,850,-4904.11,464.1,49.04,12.0456,0.6823,-0.0005,-20,-20,5.4687,33.14
12005,2057.834229,850,-4904.16,462.4,49.04,12.0016,0.6823,-0.0005,-20,-20,5.4688,33.05
12006,2057.841797,850,-4903.89,459.3,49.04,11.9219,0.6822,-0.0004,-20,-20,5.4689,32.96
12007,2057.849609,850.1,-4903.55,457.1,49.04,11.8642,0.6822,-0.0005,-20,-20,5.469,32.92
12008,2057.857178,850.1,-4904.16,454.8,49.04,11.8044,0.6823,-0.0004,-20,-20,5.469,32.98
12009,2057.86499,850.2,-4903.89,454.1,49.04,11.7867,0.6822,-0.0004,-20,-20,5.4691,32.81
12010,2057.872803,850.1,-4903.83,450.5,49.04,11.6919,0.6822,-0.0004,-20,-20,5.4692,32.69
12011,2057.880371,850.1,-4903.94,448.1,49.04,11.6295,0.6822,-0.0004,-20,-20,5.4693,32.81
12012,2057.888184,850.1,-4904.05,446.1,49.04,11.5781,0.6823,-0.0004,-20,-20,5.4693,32.88
12013,2057.895752,850.1,-4903.77,444.1,49.04,11.5276,0.6822,-0.0004,-20,-20,5.4694,32.92
12014,2057.903564,850.1,-4903.77,441.9,49.04,11.4691,0.6822,-0.0004,-20,-20,5.4695,32.9
12015,2057.911133,850.2,-4903.77,439.4,49.04,11.4033,0.6822,-0.0005,-20,-20,5.4696,32.83
12016,2057.918945,850.1,-4903.89,437.5,49.04,11.3556,0.6822,-0.0005,-20,-20,5.4696,32.86
12017,2057.926514,850.1,-4903.94,435.4,49.04,11.3007,0.6822,-0.0006,-20,-20,5.4697,32.84
12018,2057.934326,850,-4903.72,433.7,49.04,11.2573,0.6822,-0.0006,-20,-20,5.4698,32.92
12019,2057.941895,850.1,-4903.77,431.3,49.04,11.1951,0.6822,-0.0008,-20,-20,5.4699,32.93
12020,2057.949707,850,-4904.05,429.4,49.04,11.1433,0.6823,-0.0008,-20,-20,5.47,32.95
12021,2057.957275,849.9,-4903.5,425.3,49.03,11.0386,0.6822,-0.0008,-20,-20,5.47,33.09
12022,2057.965088,849.8,-4903.39,423.6,49.03,10.995,0.6821,-0.001,-20,-20,5.4701,33.11
12023,2057.9729,849.9,-4903.83,422.3,49.04,10.9611,0.6822,-0.0008,-20,-20,5.4702,33.14
12024,2057.980469,849.9,-4903.06,420.2,49.03,10.908,0.6821,-0.001,-20,-20,5.4703,33.08
12025,2057.988281,849.9,-4903.77,417.3,49.04,10.8297,0.6822,-0.0007,-20,-20,5.4704,33.13
12026,2057.99585,849.9,-4903.66,415.1,49.04,10.7751,0.6822,-0.0008,-20,-20,5.4704,33.09
12027,2058.003662,849.9,-4903.28,413.2,49.03,10.7248,0.6821,-0.0008,-20,-20,5.4705,33.17
12028,2058.01123,850,-4903.66,410.2,49.04,10.6472,0.6822,-0.0008,-20,-20,5.4706,33.15
12029,2058.018799,849.9,-4903.5,409.5,49.03,10.6293,0.6822,-0.0007,-20,-20,5.4707,33.06
12030,2058.026611,850,-4903.39,406.7,49.03,10.5565,0.6821,-0.0006,-20,-20,5.4707,33.02
12031,2058.034424,850,-4902.89,404,49.03,10.4881,0.682,-0.0006,-20,-20,5.4708,33.14
12032,2058.041992,850,-4903.17,402.8,49.03,10.4546,0.6821,-0.0004,-20,-20,5.4709,33.09
12033,2058.049805,849.9,-4903.66,399.4,49.04,10.3659,0.6822,-0.0006,-20,-20,5.471,32.99
12034,2058.057373,850,-4903.17,397.5,49.03,10.3194,0.6821,-0.0004,-20,-20,5.4711,33.09
12035,2058.065186,850.1,-4903.33,395.6,49.03,10.2679,0.6821,-0.0005,-20,-20,5.4711,32.95
12036,2058.072754,850,-4903.22,393.2,49.03,10.206,0.6821,-0.0006,-20,-20,5.4712,32.94
12037,2058.080566,849.9,-4903.44,390.2,49.03,10.1288,0.6821,-0.0005,-20,-20,5.4713,33.07
12038,2058.088135,850.1,-4903.39,388.7,49.03,10.0888,0.6821,-0.0007,-20,-20,5.4714,33.08
12039,2058.095947,850,-4903.28,386.1,49.03,10.0232,0.6821,-0.0005,-20,-20,5.4715,33.06
12040,2058.10376,850,-4903,385.2,49.03,9.9982,0.6821,-0.0007,-20,-20,5.4715,33.01
12041,2058.111328,850.1,-4903.11,383.2,49.03,9.9468,0.6821,-0.0006,-20,-20,5.4716,33.07
