C:\WinT,A100\DIL805.PR,O\Data\Def,ormation,\SalimAlha,bsi\Ti64,\Basic file\,058_Compress,ion_Salim_Ti6,4_850_-2,.0_CoolPo,werOff_010_,.asc
No.,Time,Tem.1,DL,Force,Strain,kf (Def.),Phi  (D),Phi* (D),Tem.2,Tem.3,Poti,HF
,s,∞C,µm,N,%,N/mm≤,,1/s,∞C,∞C,mm,%
201,104.287376,491.4,45.9,3.6,-0.46,0.1819,0,0,-20,-20,24.7692,26.1
202,104.841866,494.2,46.14,2.9,-0.46,0.1459,0,0,-20,-20,24.7692,26.19
203,105.394249,497,46.51,2.4,-0.47,0.1242,0,0,-20,-20,24.7692,25.97
204,105.948524,499.7,46.83,4.5,-0.47,0.2323,0,0,-20,-20,24.7692,26.25
205,106.500946,502.6,47.23,3,-0.47,0.1531,0,0,-20,-20,24.7692,26.13
206,107.055199,505.2,47.51,2.7,-0.48,0.1387,0,0,-20,-20,24.7692,26.45
207,107.607628,508,47.87,3.1,-0.48,0.1603,0,0,-20,-20,24.7692,26.34
208,108.161911,510.6,48.26,3.3,-0.48,0.1675,0,0,-20,-20,24.7692,26.6
209,108.714279,513.6,48.58,3.3,-0.49,0.1675,0,0,-20,-20,24.7692,26.62
210,109.268631,516.3,48.93,3.3,-0.49,0.1675,0,0,-20,-20,24.7692,26.67
211,109.82093,519,49.24,3,-0.49,0.1531,0,0,-20,-20,24.7692,26.83
212,110.375305,521.8,49.6,2.6,-0.5,0.1315,0,0,-20,-20,24.7692,26.84
213,110.927849,524.7,49.94,2.7,-0.5,0.1387,0,0,-20,-20,24.7692,26.89
214,111.4823,527.3,50.23,2.3,-0.5,0.1171,0,0,-20,-20,24.7692,26.92
215,112.034523,530.2,50.61,2.7,-0.51,0.1387,0,0,-20,-20,24.7692,27.14
216,112.588921,532.9,50.94,3.1,-0.51,0.1603,0,0,-20,-20,24.7692,27.26
217,113.141464,535.8,51.33,2.6,-0.51,0.1315,0,0,-20,-20,24.7692,27.23
218,113.693825,538.5,51.7,2.6,-0.52,0.1315,0,0,-20,-20,24.7692,27.41
219,114.248314,541.3,52.04,2.1,-0.52,0.1099,0,0,-20,-20,24.7692,27.36
220,114.800888,543.8,52.36,3.1,-0.52,0.1604,0,0,-20,-20,24.7692,27.85
221,115.355148,546.8,52.75,2,-0.53,0.1027,0,0,-20,-20,24.7692,27.58
222,115.907455,549.5,53.11,3.3,-0.53,0.1676,0,0,-20,-20,24.7692,27.64
223,116.461723,552.4,53.42,2.1,-0.53,0.1099,0,0,-20,-20,24.7692,27.78
224,117.013931,555.1,53.79,3,-0.54,0.1532,0,0,-20,-20,24.7692,27.64
225,117.568436,557.8,54.16,3,-0.54,0.1532,0,0,-20,-20,24.7692,27.89
